event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags,season,event_category_num,registration_type_num,cluster
8370,ITM Guwahati,Entertainment,Free,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,0,1,0,3
8426,Jujubee,Entertainment,Free,2013-05-24 00:00:00,2013-05-26 00:00:00,"Ramagondanahalli, Varthur Road, Bangalore, 560066",,,1,1,0,6
8468,new demo event,Entertainment,Paid,2013-06-04 00:00:00,2013-06-04 00:00:00,Chennai,,,2,1,1,4
8498,Between The Lines,Entertainment,Free,2013-06-22 00:00:00,2013-06-22 00:00:00,"Westin Hotel: Hyderabad Ballroom, Westin Hotel, Madhapur, Hyderabad, Hyderabad, 500081",Hyderabad,,2,1,0,4
8617,"Yudh - Three perspectives, One Truth",Entertainment,Free,2013-07-06 00:00:00,2013-07-06 00:00:00,"JM Road , Deccan Gymkhana, Pune",Pune,,2,1,0,4
8629,Swarathma - Live in Concert,Entertainment,Free,2013-07-18 00:00:00,2013-07-18 00:00:00,"Hard Rock Cafe, 40, St Mark's Rd, Bangalore,",Bengaluru,,2,1,0,4
8701,"Pharmacognosy, Phytochemistry & Natural Products",Conferences,Free,2013-10-21 00:00:00,2013-10-23 00:00:00,"Radisson Blu Plaza Hotel, Plot No. 8-2-409, Road No. 06, Banjara Hills, Hyderabad",Hyderabad,Conferences & Exhibitions,0,0,0,3
8722,Wax Display,Entertainment,Free,2013-01-01 00:00:00,2013-07-31 00:00:00,"Wax Museum, Versoli, Old Bombay Pune Highway, Lonavala, Pune",Pune,,3,1,0,1
8812,Food & Beverage Process Tech Fair 2013,Conferences,Free,2013-11-15 00:00:00,2013-11-17 00:00:00,"Hyderabad International Trade Expositions Limited (HITEX), HITEX Fair Grounds, Izzat Nagar, Madhapur, Hyderabad",Hyderabad,Conferences & Exhibitions,0,0,0,3
8828,Bollywood Kee Maa,Entertainment,Paid,2013-08-25 00:00:00,2013-08-25 00:00:00,Multiple Venues,Chennai,,2,1,1,4
8838,My Name is CINE-MAA,Entertainment,Paid,2013-07-27 00:00:00,2013-07-27 00:00:00,"Auditorium,Singapore",Singapore,,2,1,1,4
8853,Thermal and Quarter Live,Entertainment,Free,2013-07-19 00:00:00,2013-07-21 00:00:00,"BFlat and HighNote Bar and Dining #776, 100 Feet Road, HAL 2nd Stage, Above ING Bank , Bangalore",Bengaluru,,2,1,0,4
8858,Down the Memory lane - Painting Exhibition,Entertainment,Free,2013-07-17 00:00:00,2013-08-16 00:00:00,"The Studio 26/2, Between 1st and 2nd cross, D'Costa Layout, Cooketown, Bangalore",Bengaluru,,2,1,0,4
8868,Bollywood Kee Maa,Entertainment,Paid,2013-08-03 00:00:00,2013-08-11 00:00:00,Multiple Venues ,Chennai,,2,1,1,4
8877,Lagna Pahave Karun,Entertainment,Paid,2013-11-17 00:00:00,2013-11-17 00:00:00,"Screening: G V Marina Square, 5a Raffles Ave #03-01 Singapore 039801",Singapore,Movies,0,1,1,3
8895,Green Room Project - Bangalore 2013,Entertainment,Paid,2013-07-27 00:00:00,2013-07-28 00:00:00,"Alliance Francaise Opp: U.N.I Building, P.B 108, Thimmaiah Road, Millers Road, Bangalore-560052",Bengaluru,,2,1,1,4
8967,Recluse of History,Entertainment,Free,2013-07-27 00:00:00,2013-08-31 00:00:00,"Gallery Art & Soul 1, Madhuli, Shivsagar Estate, Worli , Mumbai\t",Mumbai,,2,1,0,4
8995,Serve N Protect,Conferences,Free,2013-08-25 00:00:00,2013-12-29 00:00:00,"Linger On Cafe, Shop No. 2, Ground Floor, Mont Vert Zenith Building, Baner Road, Pune, 411045",Pune,Conferences & Exhibitions,2,0,0,4
9019,The Madras Players' Serious Men,Entertainment,Paid,2013-09-27 00:00:00,2013-09-29 00:00:00,"Museum Theatre, Egmore, Chennai",Chennai,,0,1,1,3
9030,Bollywood KEE MAA by evam,Entertainment,Paid,2013-10-27 00:00:00,2013-10-27 00:00:00,Chinmaya Heritage Center - Harrington road,Chennai,Variety,0,1,1,3
9099,Lakshya Arts' POI-MEI A Family Drama,Entertainment,Paid,2013-12-29 00:00:00,2013-12-29 00:00:00,Chowdiah Memorial Hall A/c,Bengaluru,Theatre,3,1,1,1
9110,Farhan Akhtar Live Chennai,Entertainment,Paid,2013-12-14 00:00:00,2013-12-14 00:00:00,"Wesley Ground, Royapettah",Chennai,Music and Dance,3,1,1,1
9118,Md.Rafi - Kishore Kumar Golden Nite,Entertainment,Paid,2013-12-22 00:00:00,2013-12-22 00:00:00,"Kalai Arangam A/c, R.S.Puram",Coimbatore,Music and Dance,3,1,1,1
9129,Pink - A Floydian Trip - A Rock Opera,Entertainment,Paid,2013-11-30 00:00:00,2013-11-30 00:00:00,Sir Mutha Venkatasubba Rao Concert Hall,Chennai,Music and Dance,0,1,1,3
9132,Family Business Conference Fourth,Conferences,Paid,2013-11-23 00:00:00,2013-11-23 00:00:00,"Hotel Taj Club House,",Chennai,Conferences & Exhibitions,0,0,1,3
9139,Yo Yo Honey Singh Live,Entertainment,Paid,2013-11-29 00:00:00,2013-11-29 00:00:00,"YMCA Grounds, Royapettah",Chennai,Music and Dance,0,1,1,3
9159,John Foppe Live in India,Conferences,Paid,2013-12-19 00:00:00,2013-12-19 00:00:00,Hotel Leela Palace ,Chennai,Conferences & Exhibitions,3,0,1,1
9183,Shreya Ghoshal Live in Concert,Entertainment,Paid,2013-12-22 00:00:00,2013-12-22 00:00:00,Sir Mutha Venkata Subba Rao Concert Hall,Chennai,Music and Dance,3,1,1,1
9214,Fantasia 2014 - A Mega Grand New Year Rock Nite,Entertainment,Paid,2013-12-31 00:00:00,2013-12-31 00:00:00,VGP Aqua Kingdom,Chennai,Variety,3,1,1,1
9223,Yoga Workshop with Payal Gidwani,Conferences,Paid,2014-01-13 00:00:00,2014-01-13 00:00:00,Leela Palace,Chennai,Learning & Workshops,3,0,1,1
9229,Holovisual Night - Savera Hotel,Entertainment,Paid,2013-12-31 00:00:00,2013-12-31 00:00:00,Hotel Savera,Chennai,Variety,3,1,1,1
9231,Dr.Prabhakaran Talk show for Business People,Entertainment,Paid,2014-01-26 00:00:00,2014-01-26 00:00:00,Thyagaraya Hall A/C,Chennai,Talk Shows,3,1,1,1
9236,Ye Shaam Mastani,Entertainment,Paid,2014-01-24 00:00:00,2014-01-24 00:00:00,Shree Baldevdas Kikani High School,Coimbatore,Music and Dance,3,1,1,1
9241,World Congress on Disaster Management,Conferences,Free,2014-02-13 00:00:00,2014-02-16 00:00:00,National Academy of Construction (NAC) Campus,Hyderabad,Conferences & Exhibitions,3,0,0,1
9261,Delicious Dim Sum Lunch,Entertainment,Paid,2013-12-31 00:00:00,2013-12-31 00:00:00, Kalyani Nagar,Pune,Talk Shows,3,1,1,1
9262,SMSTEST,Sports,Paid,1970-01-01 19:00:00,1970-01-01 00:00:00,Chennai,Singapore,Sports Other,3,4,1,2
9264,Board Walkers Present Biloxi Blues,Entertainment,Paid,2014-01-11 00:00:00,2014-01-12 00:00:00,Museum Theatre,Chennai,Theatre,3,1,1,1
9265,"evam's Ali J, a Political Thriller - Bengaluru",Entertainment,Paid,2014-01-31 00:00:00,2014-02-01 00:00:00,Rangashankara,Bengaluru,Theatre,3,1,1,1
9266,evam's Bane - Bengaluru,Entertainment,Paid,2014-02-01 00:00:00,2014-02-02 00:00:00,Rangashankara,Bengaluru,Theatre,3,1,1,1
9274,Timepass (TP) Marathi Movie,Entertainment,Paid,2014-01-25 00:00:00,2014-01-25 00:00:00,GV GRAND HALL 6,Singapore,Movies,3,1,1,1
9279,MY Theatre Festival opener - Two Timing,Entertainment,Paid,2014-01-25 00:00:00,2014-01-25 00:00:00,The Music Academy Mini Hall,Chennai,Theatre,3,1,1,1
9287,9 Gems - The Legend of Chanakya,Entertainment,Paid,2014-02-16 00:00:00,2014-02-16 00:00:00,Raffles Jubilee Hall ,Singapore,Theatre,3,1,1,1
9311,Chennai Women's International Film Festival,Entertainment,Paid,2014-05-20 00:00:00,2014-05-25 00:00:00,To be Announced,Chennai,Movies,1,1,1,6
